Rank;Value;Player Name;Status;Games Played;Total Minutes;PTS;TPM;REB;AST;STL;BLK;TOV;FG%;FGA;FT%;FTA;zPTS;zTPM;zAST;zREB;zSTL;zBLK;zTOV;zFG%;zFT%
322;-0.2532906340720806;Maxime Raynaud;New Team, New Contract;51;15.2;5.2;0.5478;4.31;0.83;0.34;0.52;0.86;0.47;4.38;0.75;0.68;-0.6575507283514992;-0.623495532150261;-0.7213731912558443;0.22477861145645148;-0.8559372663883934;0.20288202607090358;0.3873815550129276;-0.046642212937338966;-0.18965896810567043
323;-0.2551404177261511;Jabari Walker;;46;15.8;6.1;0.518;4.25;0.75;0.5;0.13;0.62;0.52;4.37;0.71;1.4;-0.5213504404934965;-0.6558953772040007;-0.7642062183840906;0.2002334007156756;-0.45300217496072254;-0.7168248707117721;0.6809943935013274;0.4244795076025788;-0.4906919796008585
324;-0.2580759521207052;Terry Rozier;;67;21.4;7.8;1.2512;2.98;1.93;0.49;0.13;0.87;0.4;7.12;0.83;1.03;-0.2640832300950469;0.14127128029271052;-0.13241906824245772;-0.31930689329741707;-0.478185618174952;-0.7168248707117721;0.3751476867425776;-1.1104619525897639;0.18217909698977444
325;-0.25963392436508;Justin Edwards;;72;18.3;6.6;1.0804;2.27;0.94;0.65;0.27;0.81;0.45;5.68;0.72;0.62;-0.44568361390571726;-0.04442984504885837;-0.6624777789545057;-0.6097585537299334;-0.07525052674728099;-0.3866736769949141;0.4485508963646775;-0.2864301293069446;-0.27455209096224314
326;-0.2638317615421994;Tristan da Silva;Restricted Free Agent;71;18.3;6.1;0.882;2.68;1.21;0.41;0.22;0.54;0.44;5.24;0.86;0.66;-0.5213504404934965;-0.2601388805744278;-0.5179163123966745;-0.44203294700129714;-0.6796531638887875;-0.5045848176080777;0.7788653396641272;-0.38219764389778593;0.15452301231662574
327;-0.2646363346089567;Gabe Vincent;;61;18.2;6.1;1.6360000000000001;1.11;0.98;0.53;0.15;0.36;0.42;5.09;0.85;0.24;-0.5213504404934965;0.5596424338725448;-0.6410612653903826;-1.08429929471827;-0.37745184531803416;-0.6696604144665066;0.9990749685304271;-0.5926069547336323;-0.0540141987632602
328;-0.2665625643030702;Sandro Mamukelashvili;;52;12.2;5.1;0.6766000000000001;3.21;0.86;0.31;0.31;0.42;0.5;3.97;0.74;0.69;-0.6726840936690551;-0.4834586179582581;-0.7053108060827521;-0.22521691879110894;-0.9314875960310818;-0.29234476450438335;0.9256717589083272;0.20854707072097156;-0.2227791113202906
329;-0.2716138328699674;Jonathan Mogbo;;61;15.8;4.7;0.20470000000000002;3.87;1.63;0.61;0.42;0.9;0.44;4.46;0.73;0.73;-0.7332175549392784;-0.9965286475173116;-0.2930429199733814;0.04478039935742746;-0.1759842996041988;-0.032940255155423585;0.3384460819315276;-0.3348429191191568;-0.26119438080991125
330;-0.2719048555480501;N'Faly Dante;;49;9.8;4.1;0;3.52;0.46;0.26;0.57;0.58;0.68;2.62;0.66;0.75;-0.8240177468446137;-1.2190873147153158;-0.9194759417239835;-0.09839999663043277;-1.0574048121022288;0.320793166684067;0.7299298665827274;1.132775565308151;-0.5122564864908214
331;-0.272283795258503;Julian Phillips;;49;13.8;4.9;0.6405;2.03;0.49;0.49;0.27;0.33;0.48;3.67;0.84;0.91;-0.7029508243041668;-0.5227080946844329;-0.9034135565508912;-0.7079393966930376;-0.478185618174952;-0.3866736769949141;1.035776573341477;0.029670437047117075;0.18586999968727366
332;-0.27313141705445887;Rasheer Fleming;;51;14.8;4.6;0.4536;2.84;0.38;0.43;0.67;0.81;0.51;3.66;0.71;0.55;-0.7483509202568344;-0.725913834300002;-0.9623089688522298;-0.3765790516925612;-0.6292862774603286;0.5566154479103943;0.4485508963646775;0.2661817462899561;-0.2870917914932019
333;-0.2801599139860471;Jalen Wilson;Restricted Free Agent;74;18.2;7.8;1.4689;2.58;1.33;0.36;0.08;0.71;0.4;6.09;0.82;1.73;-0.2640832300950469;0.37796410808462816;-0.4536667717043049;-0.48294163156925723;-0.8055703799599346;-0.8347360113249356;0.5708895790681775;-0.9590879725633694;0.32979308418961883
